Item,Amount,Amount owned,Amount needed,Unit price (€),Total price (€),Link,Configuration
Velcro,10,,10,"0,15 €","1,53 €",https://es.aliexpress.com/item/1005008063390791.html?spm=a2g0o.productlist.main.7.7935CBDhCBDhJD&algo_pvid=82ab8097-120f-49c0-bfd2-9221ed149b58&algo_exp_id=82ab8097-120f-49c0-bfd2-9221ed149b58-6&pdp_ext_f=%7B%22order%22%3A%222119%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%211.15%210.99%21%21%219.21%217.95%21%4021039a5b17492912680996755eeb12%2112000043504951494%21sea%21ES%210%21ABX&curPageLogUid=XN77MbkCJ60X&utparam-url=scene%3Asearch%7Cquery_from%3A,Rectangle 16x70mm 10pcs
Bullet connectors,6,,6,"0,28 €","1,66 €",https://es.aliexpress.com/item/1005006400659486.html?spm=a2g0o.productlist.main.1.37683ccbXgkhPr&algo_pvid=22aa2fc1-add9-4555-bb5d-8170122417b8&algo_exp_id=22aa2fc1-add9-4555-bb5d-8170122417b8-0&pdp_ext_f=%7B%22order%22%3A%223980%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%211.31%210.99%21%21%211.46%211.10%21%402103867617492898094714028e0921%2112000037032813999%21sea%21ES%210%21ABX&curPageLogUid=pehdywiyloSB&utparam-url=scene%3Asearch%7Cquery_from%3A,6Pair 4.0mm
Cable for motor extension,1,,1,"5,59 €","5,59 €",https://es.aliexpress.com/item/1005006566120439.html?spm=a2g0o.productlist.main.1.57f039b470LHsH&algo_pvid=eb01c303-fb0d-48fe-b015-28dc3583114b&algo_exp_id=eb01c303-fb0d-48fe-b015-28dc3583114b-0&pdp_ext_f=%7B%22order%22%3A%224259%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%216.56%215.40%21%21%2152.57%2143.28%21%40211b816617492903787692996e86a8%2112000037691464138%21sea%21ES%210%21ABX&curPageLogUid=ippPKrVhFn3g&utparam-url=scene%3Asearch%7Cquery_from%3A,3m 12 AWG
Heat shrunk tubing,1,,1,"4,46 €","4,46 €",https://es.aliexpress.com/item/1005005188307524.html?spm=a2g0o.tesla.0.0.4dcej0Zsj0ZsUd&pdp_npi=4%40dis%21EUR%212%2C10€%210%2C99€%21%21%21%21%21%40211b612817500001384372689ec846%2112000032032038883%21btf%21%21%21&afTraceInfo=1005005188307524__pc__c_ppc_item_bridge_pc_main__IQwes0f__1750000138532&gatewayAdapt=glo2esp,580pcs in box
Cable for components,1,,1,"2,44 €","2,44 €",https://es.aliexpress.com/item/1005006566120439.html?spm=a2g0o.productlist.main.2.11a87387Kycknd&algo_pvid=198a24ce-2649-422a-be70-759f7e4ad08c&algo_exp_id=198a24ce-2649-422a-be70-759f7e4ad08c-1&pdp_ext_f=%7B%22order%22%3A%224277%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%216.49%215.34%21%21%2152.57%2143.24%21%40210384cc17501889223512784eabb6%2112000037691464138%21sea%21ES%210%21ABX&curPageLogUid=Az62DYRaIplh&utparam-url=scene%3Asearch%7Cquery_from%3A,Black 5M 20AWG
Charger,1,,1,"19,67 €","19,67 €",https://es.aliexpress.com/item/1005007326920235.html?spm=a2g0o.productlist.main.25.1ee4130b71LMaE&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best&algo_pvid=96a50608-e680-4398-9ac8-59a08becccd5&algo_exp_id=96a50608-e680-4398-9ac8-59a08becccd5&pdp_ext_f=%7B%22order%22%3A%224048%22%7D&pdp_npi=4%40dis%21EUR%2156.71%2117.36%21%21%21454.74%21139.15%21%40211b628117492908826713158e85fb%2112000040281503044%21sea%21ES%210%21ABX,
LiPo bag,2,,2,"5,56 €","11,12 €",https://www.amazon.es/KUBDPQOR-bater%C3%ADa-Ign%C3%ADfuga-Explosiones-Proteger/dp/B0D6WDVMMQ?dib=eyJ2IjoiMSJ9.EBP3VYs7h0d46i2jEdIxCKP0RCziNsbeAdRnjLeE8Segq2aCxgiG8TaUSG9pjhEP5kb4TCmJDvvTbySqxWheuOfQSJpC3GV0VFwi3erFFE_vtUzrdDW6SQzrTM4v1oX_-QL77Y4_ZPMVrz8BhAXiTVmv6VJYg3sTffhQAcX2qMmE-DzR8BOlpTaodYAHj2pwl0eXWOGXwQWWrb9GUDiV4g_7BaYk1vnk4mZcEWNol4aLK8bs5B2g2urb97TYCW6RdLv3nLkAx9yHx4zj7G-5H0YhJ4oDjEtXmhuVA_VQWWs.4HBTMUuzYBEyHpB2geBzHTSd5y7LK7zdPYDjDSmmhfM&dib_tag=se&keywords=lipo+safe&qid=1749291023&sr=8-12,
PCB,1,,1,"0,00 €","0,00 €",https://jlcpcb.com/es/,
LiDAR,1,,1,"16,93 €","16,93 €","https://es.aliexpress.com/item/1005007773724655.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.d03cnvSMnvSM4O&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40196.439370.0&scm_id=1007.40196.439370.0&scm-url=1007.40196.439370.0&pvid=257a845b-bd4b-41b9-8eb4-32116a834614&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40196.439370.0,pvid:257a845b-bd4b-41b9-8eb4-32116a834614,tpp_buckets:668%232846%238112%231997&pdp_ext_f=%7B%22order%22%3A%22236%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%7D&pdp_npi=4%40dis%21EUR%2157.01%2116.91%21%21%21460.14%21136.51%21%40211b680e17505431540684235eaa38%2112000042158078686%21rec%21ES%21%21ABX&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A#nav-specification",
IMU,1,,1,"12,29 €","12,29 €",https://www.amazon.es/MPU%E2%80%919250-giroscopio-magn%C3%A9tico-aceleraci%C3%B3n-medici%C3%B3n/dp/B0BJ31W6KR,
ESP32,1,,1,"4,99 €","4,99 €",https://es.aliexpress.com/item/1005008256121637.html?spm=a2g0o.productlist.main.1.46f27592KkhDQ6&aem_p4p_detail=202506080321268011175419467780003631533&algo_pvid=4f7e4e87-e7b9-43e2-9669-503fdb80d1ae&algo_exp_id=4f7e4e87-e7b9-43e2-9669-503fdb80d1ae-0&pdp_ext_f=%7B%22order%22%3A%22257%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%215.46%214.96%21%21%216.10%215.54%21%40211b6c1917493780866902562efb03%2112000044390358746%21sea%21ES%210%21ABX&curPageLogUid=CkoJWcgnXXZE&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202506080321268011175419467780003631533_1#nav-review,32D-Type-C-1PCS
Buzzer,1,1,0,"0,75 €","0,00 €",https://es.aliexpress.com/item/1005007592230799.html?spm=a2g0o.productlist.main.1.356aC484C484k3&algo_pvid=819561e8-b375-4570-83e4-714f464b8131&algo_exp_id=819561e8-b375-4570-83e4-714f464b8131-0&pdp_ext_f=%7B%22order%22%3A%2246%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%212.33%210.75%21%21%2118.73%215.99%21%40210390c217503419577143060ed746%2112000041421776769%21sea%21ES%210%21ABX&curPageLogUid=WB7zU00jnQbC&utparam-url=scene%3Asearch%7Cquery_from%3A,
LED,1,1,0,"0,70 €","0,00 €",https://es.aliexpress.com/item/1005006942561228.html?spm=a2g0o.productlist.main.2.4f4620eaffVXXM&algo_pvid=2d0dae61-9e8a-4390-b421-1c9e1a1cae35&algo_exp_id=2d0dae61-9e8a-4390-b421-1c9e1a1cae35-1&pdp_ext_f=%7B%22order%22%3A%2251%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%212.68%210.70%21%21%2121.56%215.61%21%40211b80d117503420023265406e6673%2112000038806749170%21sea%21ES%210%21ABX&curPageLogUid=Ud7lEb62zfWF&utparam-url=scene%3Asearch%7Cquery_from%3A,
Resistors,4,4,0,"0,19 €","0,00 €",https://es.aliexpress.com/item/1005007345052730.html?spm=a2g0o.productlist.main.2.4daf4384BgtyYb&algo_pvid=6cfb8a2a-37b7-4e76-8c01-f36b3aa0684e&algo_exp_id=6cfb8a2a-37b7-4e76-8c01-f36b3aa0684e-1&pdp_ext_f=%7B%22order%22%3A%224627%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007345052730%22%2C%22orig_item_id%22%3A%221005007010335100%22%7D&pdp_npi=4%40dis%21EUR%211.60%210.77%21%21%2112.85%216.17%21%40211b807017503420350251565ec044%2112000040354424593%21sea%21ES%210%21ABX&curPageLogUid=8nPfyjNQNS36&utparam-url=scene%3Asearch%7Cquery_from%3A,
Headers,1,,1,"2,02 €","2,02 €",https://es.aliexpress.com/item/4000873858801.html?spm=a2g0o.productlist.main.1.438aMcaxMcaxHA&algo_pvid=8948f835-3dba-4bb3-a6ef-0351d63cb6cf&algo_exp_id=8948f835-3dba-4bb3-a6ef-0351d63cb6cf-0&pdp_ext_f=%7B%22order%22%3A%223640%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%212.03%211.53%21%21%212.27%211.71%21%40211b813b17503404308943254e449c%2110000010058190554%21sea%21ES%210%21ABX&curPageLogUid=zYO2SICB1heb&utparam-url=scene%3Asearch%7Cquery_from%3A#nav-specification,
Angled headers,1,,1,"1,24 €","1,24 €","https://es.aliexpress.com/item/1005008210852764.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.5.1eaeV432V432MN&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40196.439370.0&scm_id=1007.40196.439370.0&scm-url=1007.40196.439370.0&pvid=2362691a-9cfa-40b6-b383-5963bc6e059a&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40196.439370.0,pvid:2362691a-9cfa-40b6-b383-5963bc6e059a,tpp_buckets:668%232846%238110%231995&pdp_ext_f=%7B%22order%22%3A%22162%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%7D&pdp_npi=4%40dis%21EUR%211.24%210.99%21%21%211.39%211.11%21%4021038df617505419994764643e6b41%2112000044248658299%21rec%21ES%21%21ABX&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A",5Pin 5PCS
Screw terminals,4,,4,"0,37 €","1,48 €",https://es.aliexpress.com/item/1005003556955422.html?spm=a2g0o.productlist.main.3.3caf577cKYWN3O&algo_pvid=340ecbec-d2a6-419c-bd93-93956aa32efc&algo_exp_id=340ecbec-d2a6-419c-bd93-93956aa32efc-1&pdp_ext_f=%7B%22order%22%3A%22552%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21EUR%211.59%210.99%21%21%211.78%211.11%21%40210390c217503411498531989ed743%2112000026274837536%21sea%21ES%210%21ABX&curPageLogUid=msIM3PVHPRlV&utparam-url=scene%3Asearch%7Cquery_from%3A,2Pin 5Pcs
Magnetic balancer,1,,1,"10,52 €","10,52 €",https://www.amazon.es/Hobbypower-Multirotor-Propeller-Magn%C3%A9tico-Quadcopter/dp/B00GSKSFM6?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1Y3D0M00HPAML&dib=eyJ2IjoiMSJ9.TuTH0MKorCpoiaKcuztv5uWmJWleMAYXeDQycNbQ4IHivDQ105jsGrrjYZ11Sx7rg6FHVSvKujnNcWT_9lNPbTIiUqPn2WHdsZ_zTbJQcPzBM1D9I71DuqtkUYKXEyrq6ng_BWkLqkpwmIwsPoCh9qeQeEqdkKkKAp9_YUOeBDmXgSaBJmB1Kgr4bQ4joYWMVLeG3Xx2xtgtuxQfYcW465nYuV7QSnTvXNQ15mXIQQFIjNy7ab1Ct7_8X6uE0uhkFchynzrup0nNjkwCBmpCAtYj_57xiFfdTUPbxArW8O8.HO9O6JUpm8p1K876pSry3QmQJbRnl_hQBwxro1-oBcA&dib_tag=se&keywords=propeller+balancer&qid=1750349895&sprefix=propeller+balancer%2Caps%2C152&sr=8-2,
TOTAL,,,,,"302,44 € ($347.67)",,
